"","cal_dt","cluster","sess"
"186","2016-06-02","18",202487
"187","2016-06-13","18",223052
"188","2016-07-27","18",181976
"189","2016-06-21","18",194912
"190","2016-08-26","18",156734
"191","2016-04-15","18",209232
"192","2016-01-03","18",286992
"193","2016-09-10","18",165934
"194","2016-02-02","18",214839
"195","2016-10-13","18",164511
"196","2016-03-20","18",284696
"197","2016-08-30","18",178885
"198","2016-05-18","18",188032
"199","2016-01-18","18",236476
"200","2016-09-29","18",171670
"201","2016-05-22","18",222787
"202","2016-03-05","18",246128
"203","2016-07-20","18",177193
"204","2016-07-16","18",166286
"205","2016-04-23","18",234944
"206","2016-07-09","18",169858
"207","2016-09-06","18",181651
"208","2016-06-17","18",192531
"209","2016-08-15","18",192392
"210","2016-05-14","18",208139
"211","2016-07-01","18",168955
"212","2016-05-26","18",204473
"213","2016-03-24","18",192800
"214","2016-10-21","18",22331
"215","2016-06-29","18",190024
"216","2016-09-22","18",174351
"217","2016-10-17","18",176922
"218","2016-09-14","18",169916
"219","2016-07-24","18",227737
"220","2016-06-10","18",174719
"221","2016-05-03","18",212628
"222","2016-04-04","18",222058
"223","2016-04-19","18",211627
"224","2016-06-25","18",188750
"225","2016-09-18","18",265077
"226","2016-01-11","18",241858
"227","2016-02-06","18",218590
"228","2016-05-07","18",177037
"229","2016-08-19","18",166795
"230","2016-05-11","18",199828
"231","2016-07-28","18",178568
"232","2016-10-10","18",186283
"233","2016-01-26","18",223051
"234","2016-10-02","18",236975
"235","2016-06-06","18",202192
"236","2016-08-23","18",169883
"237","2016-08-27","18",155380
"238","2016-01-30","18",231716
"239","2016-04-27","18",222146
"240","2016-02-14","18",301781
"241","2016-01-07","18",247144
"242","2016-10-06","18",196154
"243","2016-08-08","18",179361
"244","2016-07-13","18",203710
"245","2016-09-07","18",173478
"246","2016-09-03","18",162084
"247","2016-02-25","18",219286
"248","2016-08-04","18",167585
"249","2016-04-08","18",208494
"250","2016-01-15","18",225678
"251","2016-03-28","18",267564
"252","2016-03-21","18",232102
"253","2016-02-10","18",225387
"254","2016-03-09","18",221256
"255","2016-09-26","18",194597
"256","2016-09-30","18",168805
"257","2016-02-29","18",239516
"258","2016-08-12","18",176615
"259","2016-05-30","18",217873
"260","2016-09-15","18",169946
"261","2016-03-13","18",310555
"262","2016-09-11","18",217420
"263","2016-04-12","18",211062
"264","2016-03-17","18",202711
"265","2016-08-31","18",172623
"266","2016-04-20","18",200179
"267","2016-01-19","18",228799
"268","2016-07-05","18",191855
"269","2016-02-18","18",208461
"270","2016-02-03","18",212895
"271","2016-02-22","18",227380
"272","2016-01-23","18",243213
"273","2016-01-04","18",264234
"274","2016-10-14","18",162347
"275","2016-02-26","18",208045
"276","2016-03-02","18",226890
"277","2016-08-20","18",177587
"278","2016-04-01","18",218618
"279","2016-04-24","18",309693
"280","2016-05-15","18",249240
"281","2016-06-14","18",211948
"282","2016-01-27","18",219673
"283","2016-09-19","18",206914
"284","2016-03-25","18",259550
"285","2016-10-18","18",178534
"286","2016-04-16","18",224243
"287","2016-06-18","18",195828
"288","2016-05-19","18",208542
"289","2016-05-23","18",227137
"290","2016-06-22","18",180501
"291","2016-07-21","18",181067
"292","2016-07-17","18",221425
"293","2016-03-10","18",208981
"294","2016-08-16","18",170240
"295","2016-04-09","18",230824
"296","2016-03-09","8",174567
"297","2016-09-15","8",144555
"298","2016-02-10","8",180529
"299","2016-04-08","8",165619
"300","2016-08-31","8",138843
"301","2016-01-11","8",196157
"302","2016-10-14","8",138507
"303","2016-09-30","8",140493
"304","2016-01-23","8",188551
"305","2016-06-14","8",174899
"306","2016-05-30","8",183482
"307","2016-05-15","8",194866
"308","2016-02-18","8",168494
"309","2016-04-16","8",190362
"310","2016-04-01","8",175672
"311","2016-03-17","8",161753
"312","2016-01-04","8",210172
"313","2016-01-19","8",184394
"314","2016-10-18","8",150040
"315","2016-05-23","8",183240
"316","2016-02-03","8",165574
"317","2016-03-02","8",184381
"318","2016-08-16","8",137823
"319","2016-01-27","8",178465
"320","2016-03-21","8",183361
"321","2016-04-24","8",240348
"322","2016-06-22","8",145843
"323","2016-02-26","8",167284
"324","2016-05-04","8",143886
"325","2016-08-01","8",150722
"326","2016-03-25","8",209252
"327","2016-04-20","8",163340
"328","2016-02-07","8",219633
"329","2016-05-19","8",161924
"330","2016-07-02","8",156323
"331","2016-01-12","8",187472
"332","2016-04-05","8",182553
"333","2016-06-03","8",156908
"334","2016-03-06","8",248761
"335","2016-07-17","8",173692
"336","2016-06-18","8",164319
"337","2016-01-08","8",189774
"338","2016-07-21","8",143657
"339","2016-07-06","8",151947
"340","2016-06-11","8",170580
"341","2016-07-25","8",153817
"342","2016-04-28","8",169482
"343","2016-09-23","8",140303
"344","2016-08-20","8",147260
"345","2016-06-07","8",165154
"346","2016-02-22","8",185696
"347","2016-07-14","8",151584
"348","2016-03-14","8",183906
"349","2016-08-28","8",159574
"350","2016-03-10","8",166521
"351","2016-08-24","8",131905
"352","2016-01-16","8",200489
"353","2016-04-09","8",181122
"354","2016-09-19","8",160483
"355","2016-05-12","8",168853
"356","2016-05-27","8",146246
"357","2016-02-15","8",188589
"358","2016-10-03","8",193525
"359","2016-01-01","8",155146
"360","2016-08-05","8",139991
"361","2016-01-31","8",245331
"362","2016-02-19","8",169296
"363","2016-10-11","8",152558
"364","2016-09-27","8",164233
"365","2016-06-26","8",192828
"366","2016-05-31","8",167476
"367","2016-08-09","8",150498
"368","2016-06-30","8",153638
"369","2016-05-16","8",220319
"370","2016-07-10","8",176077
"371","2016-05-08","8",190218
"372","2016-02-11","8",170868
"373","2016-01-20","8",179969
"374","2016-03-29","8",185020
"375","2016-09-08","8",139016
"376","2016-03-03","8",174980
